YEAR,WEEK IN YEAR,VOLUME
2012,01,42300
2012,02,198600
2012,03,419100
2012,04,1031550
2012,05,1227975
2012,06,1701900
2012,07,1130950
2012,08,1888200
2012,09,2887050
2012,10,4295325
2012,11,5846850
2012,12,6025975
2012,13,6784950
2012,14,6618130
2012,15,10182825
2012,16,7918525
2012,17,14886525
2012,18,12207800
2012,19,13109950
2012,20,11366075
2012,21,12883125
2012,22,14519550
2012,23,13155225
2012,24,15832025
2012,25,16465400
2012,26,17256850
2012,27,16816050
2012,28,14803850
2012,29,16732550
2012,30,16293200
2012,31,15468900
2012,32,16222225
2012,33,15551900
2012,34,16529825
2012,35,17433900
2012,36,16726750
2012,37,12198375
2012,38,11685650
2012,39,11034025
2012,40,8903500
2012,41,5921050
2012,42,4511250
2012,43,3455100
2012,44,1789425
2012,45,931500
2012,46,1140300
2012,47,51300
2012,48,42287.5
2012,49,33272
2012,50,24259.5
2012,51,15250
2012,52,60300
2012,53,17100